# Mwm name	Generation time
Poland_Podlaskie Voivodeship	2159.3522780000003
Italy_Trentino-Alto Adige Sudtirol	2151.07544
France_Rhone-Alpes_Ardeche	2142.261163
Iraq_North	2137.708336
Spain_Catalonia_Provincia de Tarragona	2137.603435
Turkey_Southeastern Anatolia Region	2132.7174959999998
Japan_Chubu Region_Nagano	2129.380454
Saudi Arabia_South	2128.01916
Russia_Altai Krai	2127.004785
France_Auvergne_Haute-Loire	2122.3912480000004
Russia_Voronezh Oblast	2112.0476710000007
Romania_Centre	2094.7813260000003
France_Nord-Pas-de-Calais_Nord	2087.641845
France_Provence-Alpes-Cote dAzur_Bouches-du-Rhone	2083.7174640000003
Romania_North_West	2082.649781
Netherlands_Flevoland	2067.5603479999995
China_Shandong	2066.04633
Brazil_South Region_East	2063.9360920000004
US_Iowa_Des Moines	2058.607896
US_Iowa_Waterloo	2057.006841
Canada_Quebek_Montreal	2048.017478
Czech_Severovychod_Pardubicky kraj	2047.0882569999999
Spain_Region de Murcia	2038.2818169999998
United Arab Emirates	2029.816644
Greece_Decentralized Administration of Epirus - Western Macedonia	2026.37148
Canada_Ontario_London	2021.4071700000002
Italy_Umbria	2020.2102760000002
Czech_Jihozapad_Plzensky kraj	2012.4470469999999
Italy_Marche	2012.3433679999998
Italy_Piemont_Alessandria	2006.725523
Greece_Decentralized Administration of West Greece	1996.2171500000002
Algeria_Central	1995.14174
Australia_Melbourne	1990.9090360000002
New Zealand South_Canterbury	1987.443058
Russia_Saint Petersburg	1982.0061779999999
France_Lower Normandy_Calvados	1981.2206490000003
US_Massachusetts_Central	1978.1286810000001
France_Centre-Val de Loire_Eure-et-Loir	1974.440517
Japan_Kyushu Region_Kumamoto	1972.149212
Argentina_Northwest	1967.874898
US_California_Sacramento_Sacramento	1953.3048030000002
Romania_South	1952.5962650000004
US_South Carolina_Florence	1943.3629600000002
France_Aquitaine_Pyrenees-Atlantiques	1935.969484
New Zealand North_Wellington	1922.3238739999997
Italy_Piemont_Cuneo	1910.7304419999998
Canada_Nova Scotia_Halifax	1909.472085
US_Maine	1903.028764
Canada_Alberta_Edmonton	1902.8861100000001
Spain_Comunidad Foral de Navarra	1895.7802970000002
France_Ile-de-France_Paris	1895.2525419999995
Morocco_Doukkala-Abda	1889.448102
France_Midi-Pyrenees_Tarn	1870.465845
US_Indiana_Evansville	1864.024934
Slovakia_Region of Trencin	1855.7815009999997
US_Massachusetts_Plymouth	1854.650006
US_Wisconsin_Madison	1847.884013
Peru_Lima	1843.0298020000002
US_California_Chico	1841.82858
Ecuador_East	1841.521657
US_Oklahoma_West	1837.444857
US_Minnesota_Saint Cloud	1835.2238399999997
France_Rhone-Alpes_Drome	1833.252694
China_Guangxi	1832.507547
Czech_Severovychod_Kralovehradecky kraj	1832.243352
Sudan_East	1821.280871
US_Texas_Wako	1817.393027
Czech_Severovychod_Liberecky kraj	1815.782783
Netherlands_North Brabant_Roosendaal	1814.801724
France_Aquitaine_Landes	1809.512951
Argentina_Buenos Aires_South	1798.9563110000001
US_Arizona_Tucson	1797.238338
France_Provence-Alpes-Cote dAzur_Var	1792.871692
Austria_Tyrol	1791.262955
Australia_New South Wales	1782.76558
Italy_Sicily	1782.10076
France_Midi-Pyrenees_Lot	1779.0568560000002
Switzerland_Central	1769.7990399999999
Spain_Catalonia_Provincia de Girona	1769.028239
Russia_Nizhny Novgorod Oblast	1764.5647430000001
Italy_Emilia-Romagna_Modena	1762.6469570000002
Brazil_Rio Grande do Norte	1759.149264
Moldova	1752.8744630000003
Japan_Chugoku Region_Hiroshima	1749.293398
US_Louisiana_New Orleans	1744.5178059999998
France_Midi-Pyrenees_Gers	1738.5760639999996
US_Texas_Amarillo	1719.8667210000003
Japan_Chubu Region_Aichi_Nagoya	1703.197242
France_Ile-de-France_Val-de-Marne	1699.4947
Germany_Schleswig-Holstein_Flensburg	1697.9733720000002
South Korea_South	1689.85433
Turkey_Marmara Region_Bursa	1670.806183
Denmark_Region Zealand	1670.3558469999998
France_Midi-Pyrenees_Hautes-Pyrenees	1664.2790610000002
Peru_South	1661.559643
US_Louisiana_Central	1658.357289
US_Illinois_South	1652.893351
US_Florida_Orlando	1643.2712720000002
France_Lower Normandy_Orne	1633.2951150000001
Netherlands_Gelderland_Zutphen	1621.798533
Turkey_Marmara Region_Istanbul	1615.996938
Philippines_Luzon_North	1605.1196750000001
US_Colorado_Aspen	1580.92095
Ireland_Munster	1577.30761
US_Wisconsin_Eau Claire	1568.484569
Japan_Chubu Region_Gifu	1559.814356
Cambodia	1558.8162020000002
China_Inner Mongolia	1557.5941409999998
US_North Dakota_Bismarck	1553.3937249999997
Czech_Praha	1546.8391250000004
US_California_Bakersfield_Lancaster	1542.682038
China_Gansu	1539.400617
Finland_Northern Finland	1538.6465940000003
Turkey_Central Anatolia Region_Kayseri	1525.902875
Ukraine_Kharkiv Oblast	1525.617565
France_Ile-de-France_Val-dOise	1523.932815
China_Anhui	1521.9290400000002
France_Provence-Alpes-Cote dAzur_Vaucluse	1519.1714560000003
South Sudan	1516.987646
Netherlands_South Holland_Brielle	1516.7925509999998
Latvia	1515.222011
Italy_Emilia-Romagna_Bologna	1513.445039
Nepal_Purwanchal	1509.4562950000002
India_Jharkhand	1508.0942420000001
Finland_Eastern Finland_South	1492.106421
US_Montana_West	1482.4763839999998
Venezuela_North	1475.6361909999998
Czech_Zlinsky Kraj	1475.533439
Cote dIvoire	1474.1050190000003
Saudi Arabia_North	1468.8961579999998
France_Centre-Val de Loire_Cher	1462.276261
Russia_Leningradskaya Oblast_Southeast	1457.350812
Benin	1457.239926
Japan_Kinki Region_Osaka_West	1454.424249
US_Colorado_South	1444.895789
France_Ile-de-France_Seine-Saint-Denis	1440.707222
Turkey_Eastern Anatolia Region	1435.4320919999998
Russia_Kirov Oblast	1435.308922
Japan_Chugoku Region_Okayama	1432.8818030000002
US_Massachusetts_West	1429.2978180000002
India_Odisha	1423.5009260000002
Argentina_Santa Fe	1421.023599
Netherlands_North Brabant_Uden	1418.4993530000002
France_Midi-Pyrenees_Tarn-et-Garonne	1392.5785680000001
Nepal_Madhyamanchal	1391.61938
Italy_Veneto_Treviso	1389.7835360000001
Australia_South Australia	1388.321929
Togo	1384.981501
Russia_Vladimir Oblast	1384.357801
China_Hubei	1380.779675
Italy_Veneto_Vicenza	1378.992888
Switzerland_Espace Mittelland_East	1374.66797
Mexico_Chihuahua	1373.080283
Italy_Abruzzo	1372.2145930000001
Dominican Republic	1364.301685
US_California_Redding	1358.5980359999999
Russia_Sverdlovsk Oblast_Ekaterinburg	1357.62794
Armenia	1344.0257040000001
Russia_Perm Krai_South	1328.648816
Japan_Kyushu Region_Kagoshima	1328.5579719999998
Japan_Tohoku_Fukushima	1322.920045
Denmark_North Denmark Region	1322.064078
France_Languedoc-Roussillon_Pyrenees-Orientales	1319.31756
South Africa_Northern Cape	1314.6823249999998
Lebanon	1304.277291
Costa Rica	1294.66734
US_California_LA North	1269.6831940000002
India_Delhi	1268.394042
Canada_New Brunswick	1268.220679
US_North Carolina_Wilmington	1267.4290409999999
Georgia	1266.7761420000002
Japan_Kinki Region_Mie	1247.0932
US_North Carolina_Wilson	1244.9083070000001
Republic of Kosovo	1242.543988
US_North Dakota_Minot	1236.577002
Russia_Krasnodar Krai_Adygeya	1233.1895080000002
Bulgaria_East	1228.7965310000002
Italy_Friuli-Venezia Giulia_Udine	1228.569416
Belgium_Namur	1224.5129530000002
Italy_Veneto_Padova	1219.6117370000002
Argentina_Buenos Aires_North	1218.1587389999997
Canada_Quebec_Quebec	1216.62337
Canada_Quebek_North	1213.2972419999999
Canada_British Columbia_Vancouver	1212.034012
